Zip Code,Consultant,Territory,City
75225,LM,North Dallas,University Park
75230,LM,North Dallas,Dallas
75209,KBP,Central/South Dallas,Highland Park
75214,LM,North Dallas,Dallas
75032,LM,North Dallas,Rockwall
75182,LM,North Dallas,Sunnyvale
75218,LM,North Dallas,Dallas
75238,LM,North Dallas,Dallas
75089,LM,North Dallas,Rowlett
75088,LM,North Dallas,Rowlett
75243,LM,North Dallas,Dallas
75043,LM,North Dallas,Garland
75231,LM,North Dallas,Dallas
75040,LM,North Dallas,Garland
75042,LM,North Dallas,Garland
75251,LM,North Dallas,Dallas
75087,LM,North Dallas,Rockwall
75126,LM,North Dallas,Forney
75142,LM,North Dallas,Kaufman
75160,LM,North Dallas,Terrell
75205,KBP,Central/South Dallas,Highland Park
75229,LM,North Dallas,Dallas
75201,KBP,Central/South Dallas,Dallas
75219,KBP,Central/South Dallas,Highland Park
75204,KBP,Central/South Dallas,Dallas
75039,KBP,Central/South Dallas,Irving
75063,KBP,Central/South Dallas,Irving
75202,KBP,Central/South Dallas,Dallas
75052,KBP,Central/South Dallas,Grand Prairie
75208,KBP,Central/South Dallas,Dallas
75115,KBP,Central/South Dallas,DeSoto
75038,KBP,Central/South Dallas,Irving
75104,KBP,Central/South Dallas,Cedar Hill
75220,KBP,Central/South Dallas,Dallas
75062,KBP,Central/South Dallas,Irving
75050,KBP,Central/South Dallas,Grand Prairie
75211,KBP,Central/South Dallas,Dallas
75217,KBP,Central/South Dallas,Dallas
75227,KBP,Central/South Dallas,Dallas
75207,KBP,Central/South Dallas,Dallas
75235,KBP,Central/South Dallas,Dallas
75223,KBP,Central/South Dallas,Dallas
75246,KBP,Central/South Dallas,Dallas
75232,KBP,Central/South Dallas,Dallas
75051,KBP,Central/South Dallas,Grand Prairie
76065,KBP,Central/South Dallas,Midlothian
75212,KBP,Central/South Dallas,Dallas
75215,KBP,Central/South Dallas,Dallas
75163,KBP,Central/South Dallas,Trinidad
75109,KBP,Central/South Dallas,Corsicana
75751,KBP,Central/South Dallas,Athens
75156,KBP,Central/South Dallas,Mabank
75143,KBP,Central/South Dallas,Kemp
75147,KBP,Central/South Dallas,Mabank
75148,KBP,Central/South Dallas,Malakoff
75157,KBP,Central/South Dallas,Rosser
75226,KBP,Central/South Dallas,Dallas
75247,KBP,Central/South Dallas,Dallas
76092,FW,Fort Worth,Southlake
76034,FW,Fort Worth,Colleyville
75022,FW,Fort Worth,Flower Mound
76226,FW,Fort Worth,Argyle
76248,FW,Fort Worth,Keller
